year,season,type,club1,club2,result1,result2,date,time,index,dates,scheduleid
2018,spring,常规赛,RW,TES,2,0,01-17,17:00,https://www.wanplus.com/schedule/38802.html,2018/01/17 17:00:00,38802
2018,spring,常规赛,JDG,LGD,2,0,01-17,19:00,https://www.wanplus.com/schedule/38803.html,2018/01/17 19:00:00,38803
2018,spring,常规赛,OMG,WE,0,2,01-19,17:00,https://www.wanplus.com/schedule/38804.html,2018/01/19 17:00:00,38804
2018,spring,常规赛,FPX,LNG,2,1,01-19,19:00,https://www.wanplus.com/schedule/38805.html,2018/01/19 19:00:00,38805
2018,spring,常规赛,TES,RNG,0,2,01-20,17:00,https://www.wanplus.com/schedule/38806.html,2018/01/20 17:00:00,38806
2018,spring,常规赛,RW,IG,0,2,01-20,19:00,https://www.wanplus.com/schedule/38807.html,2018/01/20 19:00:00,38807
2018,spring,常规赛,LGD,SN,1,2,01-20,19:00,https://www.wanplus.com/schedule/38808.html,2018/01/20 19:00:00,38808
2018,spring,常规赛,BLG,WE,2,1,01-21,14:00,https://www.wanplus.com/schedule/38809.html,2018/01/21 14:00:00,38809
2018,spring,常规赛,FPX,OMG,0,2,01-21,16:00,https://www.wanplus.com/schedule/38810.html,2018/01/21 16:00:00,38810
2018,spring,常规赛,LNG,EDG,2,0,01-21,19:00,https://www.wanplus.com/schedule/38811.html,2018/01/21 19:00:00,38811
2018,spring,常规赛,RW,SN,2,1,01-22,17:00,https://www.wanplus.com/schedule/38812.html,2018/01/22 17:00:00,38812
2018,spring,常规赛,TES,JDG,0,2,01-22,19:00,https://www.wanplus.com/schedule/38813.html,2018/01/22 19:00:00,38813
2018,spring,常规赛,LNG,WE,2,0,01-23,17:00,https://www.wanplus.com/schedule/38814.html,2018/01/23 17:00:00,38814
2018,spring,常规赛,LGD,RNG,2,1,01-23,19:00,https://www.wanplus.com/schedule/38815.html,2018/01/23 19:00:00,38815
2018,spring,常规赛,JDG,IG,0,2,01-24,17:00,https://www.wanplus.com/schedule/38816.html,2018/01/24 17:00:00,38816
2018,spring,常规赛,BLG,OMG,2,0,01-24,19:00,https://www.wanplus.com/schedule/38817.html,2018/01/24 19:00:00,38817
2018,spring,常规赛,BLG,EDG,0,2,01-26,17:00,https://www.wanplus.com/schedule/38818.html,2018/01/26 17:00:00,38818
2018,spring,常规赛,VG,WE,0,2,01-26,19:00,https://www.wanplus.com/schedule/38819.html,2018/01/26 19:00:00,38819
2018,spring,常规赛,FPX,WE,1,2,01-27,17:00,https://www.wanplus.com/schedule/38820.html,2018/01/27 17:00:00,38820
2018,spring,常规赛,JDG,RNG,2,1,01-27,19:00,https://www.wanplus.com/schedule/38821.html,2018/01/27 19:00:00,38821
2018,spring,常规赛,RW,LGD,1,2,01-27,19:00,https://www.wanplus.com/schedule/38822.html,2018/01/27 19:00:00,38822
2018,spring,常规赛,VG,LNG,0,2,01-28,14:00,https://www.wanplus.com/schedule/38823.html,2018/01/28 14:00:00,38823
2018,spring,常规赛,TES,IG,0,2,01-28,17:00,https://www.wanplus.com/schedule/38824.html,2018/01/28 17:00:00,38824
2018,spring,常规赛,OMG,EDG,1,2,01-28,19:00,https://www.wanplus.com/schedule/38825.html,2018/01/28 19:00:00,38825
2018,spring,常规赛,RW,RNG,2,0,01-29,17:00,https://www.wanplus.com/schedule/38826.html,2018/01/29 17:00:00,38826
